
'M2 -M3 P1',1
'M2 M2 m2 P1',1
'-M2 -m2 -M2 -M2',3
'P5 -m3 m3',1
'M2 -P5 M2',2
'-P4 m3 -m2',1
'M2 m2 M2',8
'-P5 M2 m3 -m2',1
'P1 -m2 -M2 -M2',1
'-M2 M2 M2 -M2',1
'-m3 -M2 m2 -m3',1
'-m2 -M2 -m3 m2',1
'-m3 m2 M2 -P4',1
'-M2 -m2 -M2 P4',1
'-P4 M2 m2 M2',1
'm2 -P5 P5',1
'-m2 -M3 P5',1
'M2 M2 -P5 m6',1
'-P4 P4 -M2 -M2',1
'P4 -m2 m2',2
'P5 M2 M2 m2',1
'P5 M3',1
'M2 -m3 -M2 P4',1
'-m3 m2 M2',3
'M2 -M2 -m2 -M2',1
'M2 -P4 P4',1
'M2 -M3 M2 M2',3
'-M2 -M2 M2 -M3',2
'M2 -P5 P8 -M2',1
'-M2 m6 -m3 M2',1
'm2 M2 -m3 -M2',2
'M2 -P4 m2',1
'm3 -m2 m2 P1',1
'M2 -P5 M2 M2',1
'-M2 m2 -m3',1
'-P5 m6 -m2 -M2',1
'-M2 -m2 -M3',1
'M2 -m3 -M2',2
'-M2 m6',1
'-m3 m3',1
'm3 -m2 -M2',6
'm6 -m3 M2 -m3',1
'-P5 P5 -M2',1
'P1 -m2 -M2 M2',1
'-m2 -M2 P4',2
'-M2 -M2 -M2',3
'm2 -P4',1
'-m3 -M2 P4',3
'-m3 m2 -m3 m2',1
'-M3 M2 M2 -M2',1
'M2 -m3 P4 -P5',1
'm2 -P8 M2',1
'-M3 -m2 -M3 M2',1
'P4 -m2 m2 -P8',1
'M2 M2 m2 -P5',1
'P8 -m2 -M2 -M2',2
'P4 -M2 -M2 -m2',1
'-M2 P8 M2 -m3',1
'P4 -m2 -M3 P5',1
'M2 -M2 -M2 m6',1
'-M3 M2',11
'-M2 P4',9
'-M2 -m3 -M2 M2',1
'M2 -m3 m2',4
'-M3 -m2 -M3',1
'-m3 -M2 P5 M2',1
'm2 -m2 P1 -M2',1
'-M2 M2 -M3 P4',1
'M2 -M2 M3',1
'-m3 P1 M2 -M3',1
'-M2 -m2 m2',3
'-m3 M2 m2 -P5',1
'm2 -m3 -M2 M2',1
'-m2 m2 -P4',1
'-m2 m2 -m3 M2',2
'-m2 m2 M2',4
'-m2 m2 P1 M2',1
'-m3 m2 M2 -m3',1
'-m3 -M2 -M2',1
'M2 -M2 P1 -m2',1
'-m3 P1 P5',1
'-m3 P4',1
'M2 -M3 -m2 -M3',1
'P5 M3 P1',1
'P8 -M2 -M2',1
'm2 P1 -m6',1
'-M3 P4 -m2 m2',1
'-m3 M2',7
'm6 -m2 -M2',1
'M2 M2 m2 -m2',4
'-P8 M2 m2',1
'-M2 -M2 -m2',8
'-M3 P4',2
'P4 -M2 -m3 -M2',1
'-P5 P8 -M2',1
'-m2 P4 M2',1
'm2 M2 m3 -m2',1
'-P5 P8 -M2 -M2',1
'P8 -m2 m2',1
'-m3 m3 -m2',1
'm3 M2 M2 m2',1
'P4 -m2 P4 M2',1
'-M2 -m2 m2 M2',2
'-M2 -M2 -M2 P8',2
'm2 -m2 P1',1
'-m2 -M3 P8',2
'P1 -m3',2
'-M2 -m3 m2 -m2',1
'm2 P1 M2 M2',1
'-M3 M2 m3 -m2',1
'-m3 m2 -m3',1
'P1 M2 M2 m2',1
'M2 m3 -m2 m2',1
'-M2 -M2 -M2 -m2',1
'P1 -m2 -M2',2
'M2 M2 -P5 P8',1
'-m3 m2 M2 m3',1
'-M2 M2 -M2 -m2',1
'P1 M2 -M3 P4',1
'M2 M2 -M3 P1',1
'-M2 M3',1
'M2 -M2 -P5 M2',1
'-m2 -M2 P4 M2',1
'-P5 P5',2
'-m2 -M3 M2 -M2',1
'm3 M2 M2',2
'P1 M2 -M3',1
'-M2 m3',2
'-m3 M2 m2 -m2',1
'M3 P1 -M2 -M2',1
'-m3 -M2 M2',2
'M2 m3 -m2 -M3',1
'-P5 P8 -m2',1
'm2 -P5 M2 M2',2
'm3 M2 -M2',1
'P4 -m2 -M2',1
'-M2 -M2 -m3',1
'-M3 M2 M2 m2',3
'm2 -P5 M2',2
'M2 -m3 P4',1
'P1 -m6 m3',1
'-m2 m2 -m2',1
'm2 M2 -M2',4
'-m3 M2 -m3 m2',1
'-m2 -M2',24
'm3 M2 M2 -P4',1
