motifs,original,permutations
'P1 -m6 m3 M2',1,0
'M2 -P5 P4',1,0
'M2 -M3 P1',1,2
'P4 -P5 P5',1,0
'M2 M2 m2 P1',1,2
'-M2 -m2 -M2 -M2',3,10
'P5 -m3 m3',1,0
'M2 -P5 M2',2,9
'-M3 P8',2,0
'M2 m2 M2',8,15
'-P5 M2 m3 -m2',1,1
'P1 -m2 -M2 -M2',1,3
'-m3 M2 m3',1,0
'-M2 M2 M2 -M2',1,4
'-m3 -M2 m2 -m3',1,0
'-m2 -M2 -m3 m2',1,1
'-m3 m2 M2 -P4',1,0
'-M2 -m2 -M2 P4',1,7
'-M2 -P5',1,0
'-P4 M2 m2 M2',1,3
'm2 -P5 P5',1,0
'm2 -m3 M2 m2',2,2
'-P4 P4',1,0
'-m2 -M3 P5',1,0
'M2 M2 -P5 m6',1,0
'-m3 P4 -P5',1,0
'-M3 P1 M2 -M2',1,2
'-P4 P4 -M2 -M2',1,0
'P4 -m2 m2',2,1
'P5 M2 M2 m2',1,0
'P5 M3',1,0
'M2 -m3 -M2 P4',1,1
'-M2 -M2 -m3 m2',1,0
'-m2 m2 -m2',1,0
'-m3 m2 M2',3,16
'M2 -M2 -m2 -M2',1,12
'M2 m3 -M2 -m2',1,2
'M2 -P4 P4',1,0
'M2 -M3 M2 M2',3,1
'-P4 m2 P1',1,0
'-m3 m2 -m2 m3',1,0
'-M2 -M2 M2 -M3',2,0
'-M2 -M2 m6',1,0
'P8 -m2 -M2 -m3',1,0
'M2 -P5 P8 -M2',1,0
'-M2 m6 -m3 M2',1,0
'm2 M2 -m3 -M2',2,10
'M2 -M3 M2 m3',1,0
'-M3 P1',1,0
'M2 -P4 m2',1,4
'-P5 P4 -m2',1,0
'-M2 -m2 m2 -m2',1,1
'-m3 M2 m3 -M2',1,0
'-P5 m6 -m2 -M2',1,0
'-M2 -m2 -M3',1,1
'P1 M2 M2 -M2',2,0
'-M2 m6',1,0
'-m3 m3',1,0
'm3 -m2 -M2',6,4
'm6 -m3 M2 -m3',1,0
'-P5 P5 -M2',1,0
'P1 -m2 -M2 M2',1,4
'-m2 -M2 P4',2,8
'-M2 -M2 -M2',3,0
'm2 -P4',1,1
'-m3 -M2 P4',3,1
'M2 -M2',19,17
'-m3 m2 -m3 m2',1,0
'-M2 -M2 P1',1,1
'-P5 P8 -m2 -M2',1,0
'P1 -m3',2,2
'M2 -m3 P4 -P5',1,0
'm2 -P8 M2',1,1
'-M3 -m2 -M3 M2',1,2
'-M3 M2 -P5 M2',1,1
'P4 -m2 m2 -P8',1,0
'M2 M2 m2 -P5',1,5
'P8 -m2 -M2 -M2',2,2
'm2 -m2 -M2 m3',1,0
'-M2 P8 M2 -m3',1,0
'P4 -m2 -M3 P5',1,0
'M2 -M2 -M2 m6',1,0
'-M3 M2',11,10
'-M2 P4',9,4
'M2 -M3 P4 -m2',2,0
'-M2 -m3 -M2 M2',1,2
'm6 -m3',1,0
'P5 m3 -m2',1,0
'-M3 -m2 -M3',1,0
'-m3 -M2 P5 M2',1,1
'-M3 M2 m3 -m2',1,3
'-m3 M2 -m3',1,0
'M2 -M2 M3',1,0
'-m3 P1 M2 -M3',1,0
'-M2 -m2 m2',3,2
'M2 -P4 P4 -M2',1,0
'-M3 M2 -P5',1,0
'-M2 -M3',1,0
'-M3 m3',1,0
'-m3 M2 m2 -P5',1,2
'm6 -m2',1,0
'-m2 m2 -P4',1,0
'-m2 m2 -m3 M2',2,4
'-M3 -m2',1,8
'-m2 m2 M2',4,5
'-m2 m2 P1 M2',1,2
'P1 -m3 -M2 m2',1,0
'-m3 m2 M2 -m3',1,2
'-m3 -M2 -M2',1,2
'P4 M2 M2',2,0
'-m3 P4',1,0
'm3 M2 -M2 M3',1,0
'P5 M3 P1',1,0
'M2 P1 -m3 -M2',1,0
'm2 P1 -m6',1,0
'-M3 P4 -m2 m2',1,0
'-m3 M2',7,7
'm6 -m2 -M2',1,0
'-m2 -M2 -m3',1,0
'M2 M2 m2 -m2',4,0
'-M2 -M2 -m2',8,20
'-M3 P4',2,0
'P4 -M2 -m3 -M2',1,3
'-P5 P8 -M2',1,0
'-m2 P4 M2',1,0
'm2 M2 m3 -m2',1,2
'm3 -m2 P1',1,0
'-M2 m2 -m3',1,6
'P8 -m2 m2',1,0
'-m3 m3 -m2',1,0
'P1 -m3 M2',1,2
'm3 M2 M2 m2',1,0
'M2 m2 -m2 m2',2,2
'P4 -m2 P4 M2',1,0
'-M2 -m2 m2 M2',2,7
'P5 -m3',1,0
'-m2 P1',2,4
'-M2 -M2 -M2 P8',2,0
'P1 -m2 -M2',2,4
'-M2 M2 -P4',1,0
'-P5 P5 M3',1,0
'-m2 -M3 P8',2,2
'-M3 M2 M2 -M2',1,5
'm2 -m2 P1 -M2',1,1
'-m3 m2 -m3',1,0
'P4 -P5 P5 -M2',1,0
'm2 -P8 M2 m2',1,0
'-P5 -m2',1,0
'P8 -M2 -M2',1,2
'm2 -m2 P1',1,3
'M2 M2',28,0
'M2 M2 -P5 P8',1,0
'M2 -M2 -P5 M2',1,2
'-P5 m3 -m2 -M2',1,1
'-M3 M2 -M3',1,0
